,ChEBI ID,ChEBI Name,Formulae
48,CHEBI:3242,butorphanol,C21H29NO2
49,CHEBI:3243,butorphanol D-tartrate,C25H35NO8
50,CHEBI:3303,calcein am,C46H46N2O23
51,CHEBI:3319,calicheamicin gamma1(I),C55H74IN3O21S4
52,CHEBI:3353,candoxatril,C29H41NO7
53,CHEBI:3354,candoxatrilat,C20H33NO7
54,CHEBI:3385,carbachol,"C6H15ClN2O2
C6H15N2O2.Cl"
55,CHEBI:3387,carbamazepine,C15H12N2O
56,CHEBI:3395,carbidopa,C10H16N2O5
57,CHEBI:3398,carbinoxamine,C16H19ClN2O
58,CHEBI:3419,carisoprodol,C12H24N2O4
59,CHEBI:3478,cefaclor,C15H14ClN3O4S
60,CHEBI:3485,cefdinir,C14H13N5O5S2
61,CHEBI:3493,cefoperazone,C25H27N9O8S2
62,CHEBI:3499,cefotetan,C17H17N7O8S4
63,CHEBI:3504,cefpodoxime,C15H17N5O6S2
64,CHEBI:3510,ceftibuten,C15H14N4O6S2
65,CHEBI:3523,cellodextrin,(C6H10O5)n.C12H22O11
66,CHEBI:3537,cefaloridine,C19H17N3O4S2
67,CHEBI:3558,cerivastatin,C26H34FNO5
68,CHEBI:3567,cetyltrimethylammonium bromide,"C19H42BrN
C19H42N.Br"
69,CHEBI:3637,chloroprocaine hydrochloride,C13H20Cl2N2O2
70,CHEBI:3640,chlorothiazide,C7H6ClN3O4S2
71,CHEBI:3642,chlorphenesin,C9H11ClO3
72,CHEBI:3650,chlorpropamide,C10H13ClN2O3S
73,CHEBI:3655,chlorzoxazone,C7H4ClNO2
74,CHEBI:3663,cholesteryl palmitate,C43H76O2
75,CHEBI:3696,cidofovir anhydrous,C8H14N3O6P
76,CHEBI:3697,cilastatin,C16H26N2O5S
77,CHEBI:3716,cinoxacin,C12H10N2O5
78,CHEBI:3720,cisapride,C23H29ClFN3O4
79,CHEBI:3732,clarithromycin,C38H69NO13
80,CHEBI:3738,clemastine,C21H26ClNO
81,CHEBI:3743,clidinium,C22H26NO3
82,CHEBI:3745,clindamycin,C18H33ClN2O5S
83,CHEBI:3749,clofazimine,C27H22Cl2N4
84,CHEBI:3756,clonazepam,C15H10ClN3O3
85,CHEBI:3856,confertin,C15H20O3
86,CHEBI:3900,costunolide,C15H20O2
87,CHEBI:3930,cryptolepine,C16H12N2
88,CHEBI:3960,cupressuflavone,C30H18O10
89,CHEBI:3994,cyclizine,C18H22N2
90,CHEBI:3996,cyclobenzaprine,C20H21N
91,CHEBI:4031,cyclosporin A,C62H111N11O12
92,CHEBI:4046,cyproheptadine,C21H21N
93,CHEBI:4075,(R)-(1-aminoethyl)phosphonic acid,C2H8NO3P
94,CHEBI:4222,D-pantetheine 4'-phosphate,C11H23N2O7PS
95,CHEBI:4309,dalfopristin,C34H50N4O9S
96,CHEBI:4315,danazol,C22H27NO2
97,CHEBI:4325,dapsone,C12H12N2O2S
98,CHEBI:4354,decursinol,C14H14O4
99,CHEBI:4379,delavirdine mesylate,C23H32N6O6S2
100,CHEBI:4392,demeclocycline,C21H21ClN2O8
101,CHEBI:4470,dextromethorphan,C18H25NO
102,CHEBI:4474,dezocine,C16H23NO
103,CHEBI:4495,diazoxide,C8H7ClN2O2S
104,CHEBI:4513,dicoumarol,C19H12O6
105,CHEBI:4514,dicyclomine,C19H35NO2
106,CHEBI:4551,digoxin,C41H64O14
107,CHEBI:4562,dihydroergotamine,C33H37N5O5
108,CHEBI:4629,diosgenin,C27H42O3
109,CHEBI:4670,dobutamine,C18H23NO3
110,CHEBI:4702,dorzolamide,C10H16N2O4S3
111,CHEBI:4717,droperidol,C22H22FN3O2
112,CHEBI:4728,dyphylline,C10H14N4O4
113,CHEBI:4759,edrophonium chloride,C10H16ClNO
114,CHEBI:4778,embelin,C17H26O4
115,CHEBI:4779,emedastine,C17H26N4O
116,CHEBI:4784,enalapril,C20H28N2O5
117,CHEBI:4786,enalaprilat (anhydrous),C18H24N2O5
118,CHEBI:4788,encainide,C22H28N2O2
119,CHEBI:4821,ergocristine,C35H39N5O5
120,CHEBI:4822,ergometrine,C19H23N3O2
121,CHEBI:4858,estazolam,C16H11ClN4
122,CHEBI:4877,ethambutol,C10H24N2O2
123,CHEBI:4882,ethchlorvynol,C7H9ClO
124,CHEBI:4884,ethinamate,C9H13NO2
125,CHEBI:4887,ethosuximide,C7H11NO2
126,CHEBI:4888,ethotoin,C11H12N2O2
127,CHEBI:4904,etidocaine,C17H28N2O
128,CHEBI:4907,etidronic acid,C2H8O7P2
129,CHEBI:4909,etodolac,C17H21NO3
130,CHEBI:4910,etomidate,C14H16N2O2
131,CHEBI:4916,eugeniin,C41H30O26
132,CHEBI:4932,eupatilin,C18H16O7
133,CHEBI:4946,euxanthone,C13H8O4
134,CHEBI:4974,famciclovir,C14H19N5O4
135,CHEBI:4986,fatty acid methyl ester,C2H3O2R
136,CHEBI:4995,felbamate,C11H14N2O4
137,CHEBI:5000,fenfluramine,C12H16F3N
138,CHEBI:5004,fenoprofen,C15H14O3
139,CHEBI:5091,flecainide acetate,"C17H20F6N2O3.C2H4O2
C19H24F6N2O5"
140,CHEBI:5163,fosinopril,C30H46NO7P
141,CHEBI:5186,fucoxanthin,C42H58O6
142,CHEBI:5280,gatifloxacin,C19H22FN3O4
143,CHEBI:5292,geldanamycin,C29H40N2O9
144,CHEBI:5353,ginkgetin,C32H22O10
145,CHEBI:5445,glyceraldehyde,C3H6O3
146,CHEBI:5638,heliangin,C20H26O6
147,CHEBI:5706,hexobarbital,C12H16N2O3
148,CHEBI:5721,hinokiflavone,C30H18O10
149,CHEBI:5722,hinokinin,C20H18O6
150,CHEBI:5776,hydrangenol,C15H12O4
151,CHEBI:5850,N-(2-methoxyphenyl)-N'-(2-naphthyl)urea,C18H16N2O2
152,CHEBI:5864,ifosfamide,C7H15Cl2N2O2P
153,CHEBI:5885,imperatorin,C16H14O4
154,CHEBI:5981,isoalantolactone,C15H20O2
155,CHEBI:6116,kavapyrone,C14H16O3
156,CHEBI:6121,ketamine,C13H16ClNO
157,CHEBI:6263,L-lysinamide,C6H15N3O
158,CHEBI:6332,"(2S,4S)-hypoglycin B",C12H18N2O5
159,CHEBI:6339,etoricoxib,C18H15ClN2O2S
160,CHEBI:6359,lactulose,C12H22O11
161,CHEBI:6570,lupeol,C30H50O
162,CHEBI:6631,maculosin,C14H16N2O3
163,CHEBI:6698,(-)-matairesinol,C20H22O6
164,CHEBI:6716,medroxyprogesterone acetate,C24H34O4
165,CHEBI:6757,mephenytoin,C12H14N2O2
166,CHEBI:6758,mephobarbital,C13H14N2O3
167,CHEBI:6759,mepivacaine,C15H22N2O
168,CHEBI:6780,mesoridazine,C21H26N2OS2
169,CHEBI:6802,metformin hydrochloride,"C4H11N5.HCl
C4H12ClN5"
170,CHEBI:6897,metipranolol,C17H27NO4
171,CHEBI:6909,metronidazole,C6H9N3O3
172,CHEBI:6916,mexiletine,C11H17NO
173,CHEBI:6942,minoxidil,C9H15N5O
174,CHEBI:6997,moricizine,C22H25N3O4S
175,CHEBI:7025,mupirocin,C26H44O9
176,CHEBI:7061,myxochelin B,C20H25N3O6
177,CHEBI:7071,"N,N-diethyl-m-toluamide",C12H17NO
178,CHEBI:7438,N-methylformamide,C2H5NO
179,CHEBI:7447,nafcillin,C21H22N2O5S
180,CHEBI:7476,naproxen,C14H14O3
181,CHEBI:7489,neamine,C12H26N4O6
182,CHEBI:7508,framycetin,C23H46N6O13
183,CHEBI:7569,nigericin,C40H68O11
184,CHEBI:7622,norathyriol,C13H8O6
185,CHEBI:7627,norethisterone,C20H26O2
186,CHEBI:7638,norswertianolin,C19H18O11
187,CHEBI:7731,ofloxacin,C18H20FN3O4
188,CHEBI:7747,oleuropein,C25H32O13
189,CHEBI:7789,orphenadrine,C18H23NO
190,CHEBI:7798,oseltamivir,C16H28N2O4
191,CHEBI:7896,hexadecanoate,C16H31O2
192,CHEBI:7907,pancuronium,C35H60N2O4
193,CHEBI:7934,paromomycin,C23H45N5O14
194,CHEBI:7947,pedalitin,C16H12O7
195,CHEBI:7956,penciclovir,C10H15N5O3
196,CHEBI:7959,D-penicillamine,C5H11NO2S
197,CHEBI:7963,benzylpenicillin potassium,"C16H17KN2O4S
C16H17N2O4S.K"
198,CHEBI:7983,pentobarbital,C11H18N2O3
199,CHEBI:7989,pepstatin A,C34H63N5O9
200,CHEBI:8029,perseitol,C7H16O7
201,CHEBI:8048,phellamurin,C26H30O11
202,CHEBI:8069,phenobarbital,C12H12N2O3
203,CHEBI:8107,phenytoin,C15H12N2O2
204,CHEBI:8232,piperacillin,C23H27N5O7S
205,CHEBI:8404,prilocaine,C13H20N2O
206,CHEBI:8405,primaquine,C15H21N3O
207,CHEBI:8435,prochlorperazine,C20H24ClN3S
208,CHEBI:8452,"3,6-diaminoacridine",C13H11N3
209,CHEBI:8489,propiconazole,C15H17Cl2N3O2
210,CHEBI:8653,pyocyanine,C13H10N2O
211,CHEBI:8691,quassimarin,C26H34O11
212,CHEBI:8772,raloxifene,C28H27NO4S
213,CHEBI:8802,remifentanil,C20H28N2O5
214,CHEBI:8881,robustaflavone,C30H18O10
215,CHEBI:8884,rocuronium,C32H53N2O4
216,CHEBI:8890,(S)-ropivacaine,C17H26N2O
217,CHEBI:8927,"S-(2,4-dinitrophenyl)glutathione",C16H19N5O10S
218,CHEBI:9023,santamarin,C15H20O3
219,CHEBI:9096,L-selenohomocysteine,C4H9NO2Se
220,CHEBI:9110,senegin II,C70H104O32
221,CHEBI:9118,sermorelin,C149H246N44O42S
222,CHEBI:9139,sildenafil,C22H30N6O4S
223,CHEBI:9150,simvastatin,C25H38O5
224,CHEBI:9168,sirolimus,C51H79NO13
225,CHEBI:9190,solasodine,C27H43NO2
226,CHEBI:9200,soraphen A,C29H44O8
227,CHEBI:9215,spectinomycin,C14H24N2O7
228,CHEBI:9241,spironolactone,C24H32O4S
229,CHEBI:9242,spiroxamine,C18H35NO2
230,CHEBI:9287,streptonigrin,C25H22N4O8
231,CHEBI:9332,sulfamethoxazole,C10H11N3O3S
232,CHEBI:9334,sulfasalazine,C18H14N4O5S
233,CHEBI:9362,suprofen,C14H12O3S
234,CHEBI:9368,swerchirin,C15H12O6
235,CHEBI:9407,taurochenodeoxycholate,C26H44NO6S
236,CHEBI:9421,tazobactam,C10H12N4O5S
237,CHEBI:9442,tephrosin,C23H22O7
238,CHEBI:9468,tetracaine,C15H24N2O2
239,CHEBI:9516,thapsigargin,C34H50O12
240,CHEBI:9599,(S)-timolol (anhydrous),C13H24N4O3S
241,CHEBI:9605,tirofiban,C22H36N2O5S
242,CHEBI:9611,tocainide,C11H16N2O
243,CHEBI:9671,triamterene,C12H11N7
244,CHEBI:9678,tribenuron methyl,C15H17N5O6S
245,CHEBI:9688,trichodermin,C17H24O4
246,CHEBI:9915,uvaretin,C23H22O5
247,CHEBI:9997,pristinamycin IIA,C28H35N3O7
248,CHEBI:10023,voriconazole,C16H14F3N5O
249,CHEBI:10036,wax ester,CO2R2
250,CHEBI:10038,wighteone,C20H18O5
251,CHEBI:10041,withanolide D,C28H38O6
252,CHEBI:10050,XV638,C41H38N6O5S2
253,CHEBI:10110,zidovudine,C10H13N5O4
254,CHEBI:10127,zonisamide,C8H8N2O3S
255,CHEBI:10353,beta-asarone,C12H16O3
256,CHEBI:10429,beta-lapachone,C15H14O3
257,CHEBI:10447,beta-thujaplicin,C10H12O2
258,CHEBI:10642,scyllo-inositol,C6H12O6
259,CHEBI:10790,methylenediurea,C3H8N4O2
260,CHEBI:11230,1-acylglycerophosphocholine(1+),C9H20NO7PR
261,CHEBI:11449,"2,5-didehydro-D-gluconate",C6H7O7
262,CHEBI:11515,2-amino-5-formylamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate,C10H16N5O9P
263,CHEBI:11714,"3-(2,4-bis[N-acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl group",C28H47N2O20
264,CHEBI:11750,3-sn-phosphatidyl-L-serine,C8H12NO10PR2
265,CHEBI:11901,"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanate",C24H37O5
266,CHEBI:12194,6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,C19H30NO18PR2
267,CHEBI:12257,7-methoxyisoflavone,C16H12O3
268,CHEBI:13601,3-oxo-5alpha-steroid,C19H29OR
269,CHEBI:13610,3beta-hydroxysterol ester,C20H30O2R2
270,CHEBI:13614,"6,7-dihydropteridines",C6N4R6
271,CHEBI:13759,alkylamine,H2NR
272,CHEBI:13769,aminohydroquinone,C6H7NO2
273,CHEBI:13790,N-acetylarylamine,C2H4NOR
274,CHEBI:13792,N-hydroxyarylamine,H2NOR
275,CHEBI:15334,N(alpha)-methyl-L-tryptophan,C12H14N2O2
276,CHEBI:15335,"5,7-dihydroxy-4'-methoxyflavone",C16H12O5
277,CHEBI:15336,agaritine,C12H17N3O4
278,CHEBI:15337,beta-alanopine,C6H11NO4
279,CHEBI:15338,alanyl poly(glycerol phosphate)s,H2O(C6H12NO6P)n
280,CHEBI:15342,acenaphthoquinone,C12H6O2
281,CHEBI:15343,acetaldehyde,C2H4O
282,CHEBI:15344,acetoacetic acid,C4H6O3
283,CHEBI:15345,acetoacetyl-CoA,C25H40N7O18P3S
284,CHEBI:15346,coenzyme A,C21H36N7O16P3S
285,CHEBI:15347,acetone,C3H6O
286,CHEBI:15348,2-hydroxy-2-methylpropanenitrile,C4H7NO
287,CHEBI:15349,acetone oxime,C3H7NO
288,CHEBI:15350,acetyl dihydrogen phosphate,C2H5O5P
289,CHEBI:15351,acetyl-CoA,C23H38N7O17P3S
290,CHEBI:15352,1-O-acetyl-beta-maltose,C14H24O12
291,CHEBI:15353,blasticidin S,C17H26N8O5
292,CHEBI:15354,choline,C5H14NO
293,CHEBI:15355,acetylcholine,C7H16NO2
294,CHEBI:15356,cysteine,C3H7NO2S
295,CHEBI:15357,acetylenedicarboxylate(2-),C4O4
296,CHEBI:15360,acetylpyruvate,C5H5O4
297,CHEBI:15361,pyruvate,C3H3O3
298,CHEBI:15362,hydroxyacetone phosphate,C3H7O5P
299,CHEBI:15363,N-acetylindoxyl,C10H9NO2
300,CHEBI:15364,propynoate,C3HO2
301,CHEBI:15365,acetylsalicylic acid,C9H8O4
302,CHEBI:15366,acetic acid,C2H4O2
303,CHEBI:15367,all-trans-retinoic acid,C20H28O2
304,CHEBI:15368,acrolein,C3H4O
305,CHEBI:15371,3-oxopristanoyl-CoA,C40H70N7O18P3S
306,CHEBI:15372,"5,6,7,8-tetrahydrobiopterin",C9H15N5O3
307,CHEBI:15373,biopterin,C9H11N5O3
308,CHEBI:15374,4a-hydroxytetrahydrobiopterin,C9H15N5O4
309,CHEBI:15375,"D-erythro-7,8-dihydrobiopterin",C9H13N5O3
310,CHEBI:15376,"(2Z,4E)-5-hydroxypenta-2,4-diene-1,2,5-tricarboxylate(3-)",C8H5O7
311,CHEBI:15377,water,H2O
312,CHEBI:15378,hydron,H
313,CHEBI:15379,dioxygen,O2
314,CHEBI:15380,succinyl-CoA,C25H40N7O19P3S
315,CHEBI:15382,(4R)-limonene,C10H16
316,CHEBI:15383,(4S)-limonene,C10H16
317,CHEBI:15384,limonene,C10H16
318,CHEBI:15385,(+)-delta-cadinene,C15H24
319,CHEBI:15386,"(3S,4R)-3,4-dihydrophenanthrene-3,4-diol",C14H12O2
320,CHEBI:15387,(+)-cis-sabinol,C10H16O
321,CHEBI:15388,(+)-trans-carveol,C10H16O
322,CHEBI:15389,(-)-trans-carveol,C10H16O
323,CHEBI:15390,(+)-bisdechlorogeodin,C17H14O7
324,CHEBI:15391,(-)-bisdechlorogeodin,C17H14O7
325,CHEBI:15392,"(1R)-bornane-2,5-dione",C10H14O2
326,CHEBI:15393,(+)-borneol,C10H18O
327,CHEBI:15394,(-)-borneol,C10H18O
328,CHEBI:15395,(+)-bornyl diphosphate,C10H20O7P2
329,CHEBI:15396,(R)-camphor,C10H16O
330,CHEBI:15397,(S)-camphor,C10H16O
331,CHEBI:15398,(+)-exo-5-hydroxycamphor,C10H16O2
332,CHEBI:15399,(+)-carvone,C10H14O
333,CHEBI:15400,(-)-carvone,C10H14O
334,CHEBI:15401,(+)-dihydrokaempferol,C15H12O6
335,CHEBI:15402,(+)-neomenthol,C10H20O
336,CHEBI:15403,(+)-sabinone,C10H14O
337,CHEBI:15404,(-)-homoisocitrate(3-),C7H7O7
338,CHEBI:15405,(-)-endo-fenchol,C10H18O
339,CHEBI:15406,(-)-trans-isopiperitenol,C10H16O
340,CHEBI:15407,(-)-ephedrine,C10H15NO
341,CHEBI:15408,(-)-isopiperitenone,C10H14O
342,CHEBI:15409,(-)-menthol,C10H20O
343,CHEBI:15410,(-)-menthone,C10H18O
344,CHEBI:15411,(-)-menthyl beta-D-glucoside,C16H30O6
345,CHEBI:15412,(-)-ureidoglycolic acid,C3H6N2O4
346,CHEBI:15413,"2',4,4',6'-tetrahydroxychalcone",C15H12O5
347,CHEBI:15414,S-adenosyl-L-methionine,C15H23N6O5S
348,CHEBI:15415,ent-kaurene,C20H32
349,CHEBI:15416,ent-kaur-16-en-19-ol,C20H32O
350,CHEBI:15417,ent-kaur-16-en-19-oic acid,C20H30O2
351,CHEBI:15418,ent-kaur-16-en-19-al,C20H30O
352,CHEBI:15419,ent-7alpha-hydroxykaur-16-en-19-oic acid,C20H30O3
353,CHEBI:15420,perillyl alcohol,C10H16O
354,CHEBI:15421,perillyl aldehyde,C10H14O
355,CHEBI:15422,ATP,C10H16N5O13P3
356,CHEBI:15423,clavaminic acid,C8H10N2O4
357,CHEBI:15424,dihydroclavaminic acid,C8H12N2O4
358,CHEBI:15425,proclavaminic acid,C8H14N2O4
359,CHEBI:15426,deoxyamidinoproclavaminic acid,C9H16N4O3
360,CHEBI:15427,N(2)-(2-carboxyethyl)-L-arginine,C9H18N4O4
361,CHEBI:15428,glycine,C2H5NO2
362,CHEBI:15429,hydroxylamine,H3NO
363,CHEBI:15430,protoporphyrin,C34H34N4O4
364,CHEBI:15431,magnesium protoporphyrin,C34H32MgN4O4
365,CHEBI:15434,magnesium 13(1)-hydroxyprotoporphyrin 13-monomethyl ester,C35H34MgN4O5
366,CHEBI:15435,protoporphyrinogen,C34H40N4O4
367,CHEBI:15436,uroporphyrin III,C40H38N4O16
368,CHEBI:15437,uroporphyrinogen III,C40H44N4O16
369,CHEBI:15439,coproporphyrinogen III,C36H44N4O8
370,CHEBI:15440,squalene,C30H50
371,CHEBI:15441,"(S)-2,3-epoxysqualene",C30H50O
372,CHEBI:15442,presqualene diphosphate,C30H52O7P2
373,CHEBI:15444,(1->4)-alpha-D-glucan,(C6H10O5)nH2O
374,CHEBI:15446,[(1->4)-alpha-D-galacturonosyl]n,(C6H8O6)n.H2O
375,CHEBI:15447,(1->4)-beta-D-xylan,(C5H8O4)nH2O
376,CHEBI:15448,(1-hydroxycyclohexyl)acetyl-CoA,C29H48N7O18P3S
377,CHEBI:15449,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA",C26H44N7O18P3S
378,CHEBI:15450,(2R)-2-methylacyl-CoA,C24H39N7O17P3SR
379,CHEBI:15451,(2S)-2-methylacyl-CoA,C24H39N7O17P3SR
380,CHEBI:15452,(R)-3-hydroxybutanoyl-CoA,C25H42N7O18P3S
381,CHEBI:15453,(S)-3-hydroxybutanoyl-CoA,C25H42N7O18P3S
382,CHEBI:15454,(3S)-3-carboxy-3-hydroxypropanoyl-CoA,C25H40N7O20P3S
383,CHEBI:15455,(S)-3-hydroxyacyl-CoA,C24H39N7O18P3SR
384,CHEBI:15456,(R)-3-hydroxyacyl-CoA,C24H39N7O18P3SR
385,CHEBI:15457,citramalyl-CoA,C26H42N7O20P3S
386,CHEBI:15459,(3S)-citryl-CoA,C27H42N7O22P3S
387,CHEBI:15460,trans-tetradec-11-enoyl-CoA,C35H60N7O17P3S
388,CHEBI:15461,cis-tetradec-11-enoyl-CoA,C35H60N7O17P3S
389,CHEBI:15463,cinnamoyl-CoA,C30H42N7O17P3S
390,CHEBI:15464,"(E,E)-piperonyl-CoA",C33H44N7O19P3S
391,CHEBI:15465,(R)-methylmalonyl-CoA,C25H40N7O19P3S
392,CHEBI:15466,(S)-methylmalonyl-CoA,C25H40N7O19P3S
393,CHEBI:15467,(3S)-3-hydroxy-3-methylglutaryl-CoA,C27H44N7O20P3S
394,CHEBI:15468,3'-dephospho-CoA,C21H35N7O13P2S
395,CHEBI:15469,alk-2-enoyl-CoA,C24H37N7O17P3SR
396,CHEBI:15470,"2,4-dichlorobenzoyl-CoA",C28H38Cl2N7O17P3S
397,CHEBI:15471,trans-dodec-2-enoyl-CoA,C33H56N7O17P3S
398,CHEBI:15472,anthraniloyl-CoA,C28H41N8O17P3S
399,CHEBI:15473,crotonoyl-CoA,C25H40N7O17P3S
400,CHEBI:15474,2-furoyl-CoA,C26H38N7O18P3S
401,CHEBI:15475,2-hydroxyphytanoyl-CoA,C41H74N7O18P3S
402,CHEBI:15476,2-methylacetoacetyl-CoA,C26H42N7O18P3S
403,CHEBI:15477,2-methylbutanoyl-CoA,C26H44N7O17P3S
404,CHEBI:15478,2-methylcrotonoyl-CoA,C26H42N7O17P3S
405,CHEBI:15479,isobutyryl-CoA,C25H42N7O17P3S
406,CHEBI:15480,3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-CoA,C32H50N7O19P3S
407,CHEBI:15481,3-hydroxy-2-methylpropanoyl-CoA,C25H42N7O18P3S
408,CHEBI:15482,3-hydroxy-3-(3-hydroxy-4-methoxyphenyl)propanoyl-CoA,C31H46N7O20P3S
409,CHEBI:15483,3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA,C32H52N7O20P3S
410,CHEBI:15484,3-hydroxybenzoyl-CoA,C28H40N7O18P3S
411,CHEBI:15485,3-hydroxypimeloyl-CoA,C28H46N7O20P3S
412,CHEBI:15486,3-methylbut-2-enoyl-CoA,C26H42N7O17P3S
413,CHEBI:15487,isovaleryl-CoA,C26H44N7O17P3S
414,CHEBI:15488,trans-3-methylglutaconyl-CoA,C27H42N7O19P3S
415,CHEBI:15489,3-oxo-fatty acyl-CoA,C24H37N7O18P3SR
416,CHEBI:15490,3-oxoadipyl-CoA,C27H42N7O20P3S
417,CHEBI:15491,3-oxopalmitoyl-CoA,C37H64N7O18P3S
418,CHEBI:15492,3-oxopimeloyl-CoA,C28H44N7O20P3S
419,CHEBI:15493,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA",C48H80N7O20P3S
420,CHEBI:15494,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA",C48H80N7O19P3S
421,CHEBI:15495,"4,8,12-trimethyltridecanoyl-CoA",C37H66N7O17P3S
422,CHEBI:15496,4-aminobutanoyl-CoA,C25H43N8O17P3S
423,CHEBI:15497,trans-4-carboxybut-2-enoyl-CoA,C26H40N7O19P3S
424,CHEBI:15498,4-chlorobenzoyl-CoA,C28H39ClN7O17P3S
425,CHEBI:15499,4-coumaroyl-CoA,C30H42N7O18P3S
426,CHEBI:15500,4-hydroxybenzoyl-CoA,C28H40N7O18P3S
427,CHEBI:15501,5-hydroxypentanoyl-CoA,C26H44N7O18P3S
428,CHEBI:15502,5-hydroxythiophene-2-carbonyl-CoA,C26H38N7O18P3S2
429,CHEBI:15503,"2,3-didehydropimeloyl-CoA",C28H44N7O19P3S
430,CHEBI:15504,pimeloyl-CoA,C28H46N7O19P3S
431,CHEBI:15505,6-hydroxycyclohex-1-ene-1-carbonyl-CoA,C28H44N7O18P3S
432,CHEBI:15506,7-methyl-3-oxooctanoyl-CoA,C30H50N7O18P3S
433,CHEBI:15507,beta-alanyl-CoA,C24H41N8O17P3S
434,CHEBI:15508,gamma-linolenoyl-CoA,C39H64N7O17P3S
435,CHEBI:15509,4-(2-carboxyphenyl)-4-oxobutanoyl-CoA,C32H44N7O20P3S
436,CHEBI:15510,5-hydroxy-2-furoyl-CoA,C26H38N7O19P3S
437,CHEBI:15511,trans-feruloyl-CoA,C31H44N7O19P3S
438,CHEBI:15512,L-3-aminobutanoyl-CoA,C25H43N8O17P3S
439,CHEBI:15513,acryloyl-CoA,C24H38N7O17P3S
440,CHEBI:15514,arachidonoyl-CoA,C41H66N7O17P3S
441,CHEBI:15515,benzoyl-CoA,C28H40N7O17P3S
442,CHEBI:15516,biotinyl-CoA,C31H50N9O18P3S2
443,CHEBI:15517,butyryl-CoA,C25H42N7O17P3S
444,CHEBI:15518,caffeoyl-CoA,C30H42N7O19P3S
445,CHEBI:15519,choloyl-CoA,C45H74N7O20P3S
446,CHEBI:15520,"cyclohexa-1,5-diene-1-carbonyl-CoA",C28H42N7O17P3S
447,CHEBI:15521,lauroyl-CoA,C33H58N7O17P3S
448,CHEBI:15522,formyl-CoA,C22H36N7O17P3S
